Artist,Spotify Name,Genres,Popularity,Similarity
Bono,Bonobo,['downtempo' 'electronica' 'jazztronica' 'nu jazz' 'trip hop'],67.0,80
Can,Cannons,,63.0,60
Justin Timberlake duet with Beyonce,Who TF Is Justin Time?,['country rap' 'redneck'],49.0,39
Jimmie Lunceford & His Orchestra,Jimmie Lunceford,['big band' 'stride' 'swing' 'vintage jazz'],33.0,67
Hana and the Goose,HANA,['dark pop'],47.0,36
Paul Revere & Mark Lindsay formerly of Paul Revere & The Raiders,Paul Revere & The Raiders,"['bubblegum pop' 'classic garage rock' 'classic rock' 'folk rock'
 'freakbeat' 'merseybeat' 'protopunk' 'psychedelic rock']",42.0,56
Jeff Beck Group,Jeff Beck,"['album rock' 'art rock' 'blues rock' 'british blues' 'classic rock'
 'electric blues' 'instrumental rock' 'jazz fusion' 'rock']",62.0,75
Frankie Trumbauer,Frankie Trumbauer And His Orchestra,"[""man's orchestra""]",15.0,65
Kudu,Kuduvic,,28.0,73
MR. DREAM,Mr Dreamz,,35.0,89
Terence Trent D'Arby,Sananda Maitreya,['new wave pop'],53.0,33
Queen Ida,Queen Ida & Her Zydeco Band,['zydeco'],16.0,50
Family Band,Robert Randolph & The Family Band,['funk' 'jam band' 'modern blues' 'modern blues rock' 'sacred steel'],41.0,50
DJ Magic,DJ Magic Mike,['electro' 'miami bass' 'trival'],33.0,76
Come,Comethazine,['meme rap' 'rap' 'trap' 'underground hip hop' 'vapor trap' 'viral rap'],67.0,53
Esme Patterson,Esmé Patterson,['new americana'],33.0,93
Sleeper,Sleepermane,,62.0,78
Byron Lee & The Dragonaires & Friends,Byron Lee & The Dragonaires,['chutney' 'jamaican ska' 'lovers rock' 'rocksteady'],35.0,84
Sister C,Sister Crayon,['sacramento indie'],24.0,76
The Faces,Faces,"['album rock' 'art rock' 'blues rock' 'classic rock' 'country rock'
 'folk rock' 'glam rock' 'hard rock' 'mellow gold' 'protopunk'
 'psychedelic rock' 'pub rock' 'rock' 'roots rock' 'soft rock']",60.0,71
Doug E. Fresh & The Get Fresh Crew,Doug E. Fresh,"['beatboxing' 'east coast hip hop' 'electro' 'harlem hip hop' 'hip hop'
 'hip house' 'old school hip hop']",39.0,55
Joan Jett,Joan Jett & the Blackhearts,['glam punk' 'rock'],67.0,50
suburbo,Suburban DZ,['white noise'],58.0,67
The Trash Can Sinatras,Trashcan Sinatras,['britpop' 'c86' 'chamber pop' 'power pop' 'scottish indie'],33.0,87
Popo,Polo G,['chicago rap' 'rap'],86.0,60
Tomorrow,TOMORROW X TOGETHER,['k-pop' 'k-pop boy group'],83.0,59
Vulfpeck,,,,0
Negative FX & Last Rights,,,,0
The Mighty Diamonds,,,,0
"Phineas Newborn, Jr.",,,,0
Lightnin' Hopkins,,,,0
Black Halos,The Black Halos,"['canadian punk' ""punk 'n' roll"" 'vancouver punk']",15.0,85
Ray Charles / The Count Basie Orchestra,Ray Charles,"['adult standards' 'classic soul' 'jazz blues' 'piano blues' 'soul'
 'soul blues' 'vocal jazz']",70.0,44
The Stevens,The Stevenson Ranch Davidians,['psych gaze'],18.0,55
Roy,Royal & the Serpent,"['alt z' 'electropop' 'indie electropop' 'modern alternative pop'
 'social media pop' 'viral rap']",65.0,27
She & Him,Sheff G,['brooklyn drill' 'new york drill' 'nyc rap' 'rap'],73.0,50
Maze Featuring Frankie Beverly,Maze,"['funk' 'neo soul' 'post-disco' 'quiet storm' 'r&b' 'soul'
 'urban contemporary']",53.0,24
Mancy,Mandy Moore,['dance pop' 'hollywood' 'post-teen pop'],67.0,50
Hanna,Hannah Montana,['dance pop' 'hollywood' 'pop' 'post-teen pop'],66.0,53
Yung Berg feat. Casha,Yung Bae,['future funk'],58.0,48
Mike & The Mechanics,mike.,['indie pop rap' 'pop rap' 'rhode island rap'],70.0,32
Jim Reeves & Dottie West,Jim Reeves,['adult standards' 'nashville sound'],57.0,59
Kris Kristofferson/Willie Nelson/Janie Frickie,Kris Kristofferson,"['country rock' 'folk' 'folk rock' 'mellow gold' 'outlaw country'
 'roots rock' 'singer-songwriter']",66.0,56
Theatre,Theatre Of Tragedy,"['gothic metal' 'gothic symphonic metal' 'norwegian doom metal'
 'norwegian metal' 'symphonic metal']",44.0,56
